ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
0,1972,health.insurance,1,NES,props.d,0.529411765,-2.2,4.84,-10.648,0,1,1
1,1976,health.insurance,1,NES,props.d,0.535698249,-1.8,3.24,-5.832,0,1,1
2,1978,health.insurance,1,NES,props.d,0.543737575,-1.6,2.56,-4.096,0,1,1
3,1984,health.insurance,1,NES,props.d,0.449567723,-1,1,-1,0,1,1
4,1988,health.insurance,1,NES,props.d,0.52332913,-0.6,0.36,-0.216,0,1,1
5,1992,health.insurance,1,NES,props.d,0.64229562,-0.2,0.04,-0.008,0,1,1
6,1994,health.insurance,1,NES,props.d,0.521260224,0,0,0,0,1,1
7,1996,health.insurance,1,NES,props.d,0.5200067,0.2,0.04,0.008,0,1,1
8,2000,health.insurance,1,NES,props.d,0.534521107,0.6,0.36,0.216,0,1,1
9,2004,health.insurance,1,NES,props.d,0.615622746,1,1,1,0,1,1
10,2008,health.insurance,1,NES,props.d,0.609620555,1.4,1.96,2.744,0,1,1
11,2012,health.insurance,1,NES,props.d,0.574614649,1.8,3.24,5.832,0,1,1
12,2016,health.insurance,1,NES,props.d,0.610755328,2.2,4.84,10.648,0,1,1
13,1972,health.insurance,1,NES,props.i,0.47972973,-2.2,4.84,-10.648,1,0,1
14,1976,health.insurance,1,NES,props.i,0.469539376,-1.8,3.24,-5.832,1,0,1
15,1978,health.insurance,1,NES,props.i,0.463235294,-1.6,2.56,-4.096,1,0,1
16,1984,health.insurance,1,NES,props.i,0.454545455,-1,1,-1,1,0,1
17,1988,health.insurance,1,NES,props.i,0.480874317,-0.6,0.36,-0.216,1,0,1
18,1992,health.insurance,1,NES,props.i,0.534339967,-0.2,0.04,-0.008,1,0,1
19,1994,health.insurance,1,NES,props.i,0.471199982,0,0,0,1,0,1
20,1996,health.insurance,1,NES,props.i,0.446708823,0.2,0.04,0.008,1,0,1
21,2000,health.insurance,1,NES,props.i,0.475448299,0.6,0.36,0.216,1,0,1
22,2004,health.insurance,1,NES,props.i,0.485986275,1,1,1,1,0,1
23,2008,health.insurance,1,NES,props.i,0.477794621,1.4,1.96,2.744,1,0,1
24,2012,health.insurance,1,NES,props.i,0.395769546,1.8,3.24,5.832,1,0,1
25,2016,health.insurance,1,NES,props.i,0.397832089,2.2,4.84,10.648,1,0,1
26,1972,health.insurance,1,NES,props.r,0.341708543,-2.2,4.84,-10.648,0,0,1
27,1976,health.insurance,1,NES,props.r,0.293281654,-1.8,3.24,-5.832,0,0,1
28,1978,health.insurance,1,NES,props.r,0.293220339,-1.6,2.56,-4.096,0,0,1
29,1984,health.insurance,1,NES,props.r,0.281524927,-1,1,-1,0,0,1
30,1988,health.insurance,1,NES,props.r,0.296244784,-0.6,0.36,-0.216,0,0,1
31,1992,health.insurance,1,NES,props.r,0.340547902,-0.2,0.04,-0.008,0,0,1
32,1994,health.insurance,1,NES,props.r,0.214127204,0,0,0,0,0,1
33,1996,health.insurance,1,NES,props.r,0.209719221,0.2,0.04,0.008,0,0,1
34,2000,health.insurance,1,NES,props.r,0.290985601,0.6,0.36,0.216,0,0,1
35,2004,health.insurance,1,NES,props.r,0.289135715,1,1,1,0,0,1
36,2008,health.insurance,1,NES,props.r,0.28868984,1.4,1.96,2.744,0,0,1
37,2012,health.insurance,1,NES,props.r,0.171826257,1.8,3.24,5.832,0,0,1
38,2016,health.insurance,1,NES,props.r,0.178369583,2.2,4.84,10.648,0,0,1
39,1972,guar.jobs.n.income,1,NES,props.d,0.387867647,-2.2,4.84,-10.648,0,1,2
40,1974,guar.jobs.n.income,1,NES,props.d,0.393968872,-2,4,-8,0,1,2
41,1976,guar.jobs.n.income,1,NES,props.d,0.40172043,-1.8,3.24,-5.832,0,1,2
42,1978,guar.jobs.n.income,1,NES,props.d,0.286012526,-1.6,2.56,-4.096,0,1,2
43,1980,guar.jobs.n.income,1,NES,props.d,0.406199021,-1.4,1.96,-2.744,0,1,2
44,1982,guar.jobs.n.income,1,NES,props.d,0.362519201,-1.2,1.44,-1.728,0,1,2
45,1984,guar.jobs.n.income,1,NES,props.d,0.42699115,-1,1,-1,0,1,2
46,1986,guar.jobs.n.income,1,NES,props.d,0.338491296,-0.8,0.64,-0.512,0,1,2
47,1988,guar.jobs.n.income,1,NES,props.d,0.399497487,-0.6,0.36,-0.216,0,1,2
48,1990,guar.jobs.n.income,1,NES,props.d,0.432155074,-0.4,0.16,-0.064,0,1,2
49,1992,guar.jobs.n.income,1,NES,props.d,0.399183183,-0.2,0.04,-0.008,0,1,2
50,1994,guar.jobs.n.income,1,NES,props.d,0.398474582,0,0,0,0,1,2
51,1996,guar.jobs.n.income,1,NES,props.d,0.355622588,0.2,0.04,0.008,0,1,2
