year,i.vars.label,i.vars.class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
1972,urban.unrest,4,NES,props.d,0.65,-2.2,4.84,-10.648,0,1,1
1974,urban.unrest,4,NES,props.d,0.65410628,-2,4,-8,0,1,1
1976,urban.unrest,4,NES,props.d,0.609902067,-1.8,3.24,-5.832,0,1,1
1992,urban.unrest,4,NES,props.d,0.611800057,-0.2,0.04,-0.008,0,1,1
1972,urban.unrest,4,NES,props.i,0.602941176,-2.2,4.84,-10.648,1,0,1
1974,urban.unrest,4,NES,props.i,0.524781341,-2,4,-8,1,0,1
1976,urban.unrest,4,NES,props.i,0.570866142,-1.8,3.24,-5.832,1,0,1
1992,urban.unrest,4,NES,props.i,0.515279524,-0.2,0.04,-0.008,1,0,1
1972,urban.unrest,4,NES,props.r,0.528700906,-2.2,4.84,-10.648,0,0,1
1974,urban.unrest,4,NES,props.r,0.469194313,-2,4,-8,0,0,1
1976,urban.unrest,4,NES,props.r,0.471054718,-1.8,3.24,-5.832,0,0,1
1992,urban.unrest,4,NES,props.r,0.37306375,-0.2,0.04,-0.008,0,0,1
1980,ussr.coop,4,NES,props.d,0.425210084,-1.4,1.96,-2.744,0,1,2
1984,ussr.coop,4,NES,props.d,0.454029512,-1,1,-1,0,1,2
1986,ussr.coop,4,NES,props.d,0.367451382,-0.8,0.64,-0.512,0,1,2
1988,ussr.coop,4,NES,props.d,0.481958763,-0.6,0.36,-0.216,0,1,2
1980,ussr.coop,4,NES,props.i,0.403846154,-1.4,1.96,-2.744,1,0,2
1984,ussr.coop,4,NES,props.i,0.333333333,-1,1,-1,1,0,2
1986,ussr.coop,4,NES,props.i,0.251046025,-0.8,0.64,-0.512,1,0,2
1988,ussr.coop,4,NES,props.i,0.414364641,-0.6,0.36,-0.216,1,0,2
1980,ussr.coop,4,NES,props.r,0.350230415,-1.4,1.96,-2.744,0,0,2
1984,ussr.coop,4,NES,props.r,0.240932642,-1,1,-1,0,0,2
1986,ussr.coop,4,NES,props.r,0.222683264,-0.8,0.64,-0.512,0,0,2
1988,ussr.coop,4,NES,props.r,0.378231293,-0.6,0.36,-0.216,0,0,2
1980,defense.spending,4,NES,props.d,0.149295775,-1.4,1.96,-2.744,0,1,3
1982,defense.spending,4,NES,props.d,0.425742574,-1.2,1.44,-1.728,0,1,3
1984,defense.spending,4,NES,props.d,0.444567627,-1,1,-1,0,1,3
1986,defense.spending,4,NES,props.d,0.484375,-0.8,0.64,-0.512,0,1,3
1988,defense.spending,4,NES,props.d,0.439849624,-0.6,0.36,-0.216,0,1,3
1990,defense.spending,4,NES,props.d,0.501146789,-0.4,0.16,-0.064,0,1,3
1992,defense.spending,4,NES,props.d,0.557603751,-0.2,0.04,-0.008,0,1,3
1994,defense.spending,4,NES,props.d,0.468188476,0,0,0,0,1,3
1996,defense.spending,4,NES,props.d,0.385572211,0.2,0.04,0.008,0,1,3
2000,defense.spending,4,NES,props.d,0.211380466,0.6,0.36,0.216,0,1,3
2004,defense.spending,4,NES,props.d,0.286873988,1,1,1,0,1,3
2008,defense.spending,4,NES,props.d,0.406583685,1.4,1.96,2.744,0,1,3
2012,defense.spending,4,NES,props.d,0.372854189,1.8,3.24,5.832,0,1,3
2016,defense.spending,4,NES,props.d,0.356689375,2.2,4.84,10.648,0,1,3
1980,defense.spending,4,NES,props.i,0.092896175,-1.4,1.96,-2.744,1,0,3
1982,defense.spending,4,NES,props.i,0.42519685,-1.2,1.44,-1.728,1,0,3
1984,defense.spending,4,NES,props.i,0.334883721,-1,1,-1,1,0,3
1986,defense.spending,4,NES,props.i,0.321138211,-0.8,0.64,-0.512,1,0,3
1988,defense.spending,4,NES,props.i,0.39893617,-0.6,0.36,-0.216,1,0,3
1990,defense.spending,4,NES,props.i,0.358024691,-0.4,0.16,-0.064,1,0,3
1992,defense.spending,4,NES,props.i,0.456694417,-0.2,0.04,-0.008,1,0,3
1994,defense.spending,4,NES,props.i,0.384391569,0,0,0,1,0,3
1996,defense.spending,4,NES,props.i,0.325155636,0.2,0.04,0.008,1,0,3
