year,new,i.vars.label,i.vars.class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem
1972,1,women.role,3,NES,props.d,0.510408635,-2.2,4.84,-10.648,0,1
1974,1,women.role,3,NES,props.d,0.587085811,-2,4,-8,0,1
1976,1,women.role,3,NES,props.d,0.576580796,-1.8,3.24,-5.832,0,1
1978,1,women.role,3,NES,props.d,0.617414248,-1.6,2.56,-4.096,0,1
1980,1,women.role,3,NES,props.d,0.63868066,-1.4,1.96,-2.744,0,1
1982,1,women.role,3,NES,props.d,0.640226629,-1.2,1.44,-1.728,0,1
1984,1,women.role,3,NES,props.d,0.629552549,-1,1,-1,0,1
1988,1,women.role,3,NES,props.d,0.6901566,-0.6,0.36,-0.216,0,1
1990,1,women.role,3,NES,props.d,0.695378151,-0.4,0.16,-0.064,0,1
1992,1,women.role,3,NES,props.d,0.780867034,-0.2,0.04,-0.008,0,1
1994,1,women.role,3,NES,props.d,0.712016635,0,0,0,0,1
1996,1,women.role,3,NES,props.d,0.822579687,0.2,0.04,0.008,0,1
1998,1,women.role,3,NES,props.d,0.823223679,0.4,0.16,0.064,0,1
2000,1,women.role,3,NES,props.d,0.841365655,0.6,0.36,0.216,0,1
2004,1,women.role,3,NES,props.d,0.863481001,1,1,1,0,1
2008,1,women.role,3,NES,props.d,0.871373845,1.4,1.96,2.744,0,1
1972,1,women.role,3,NES,props.i,0.443243243,-2.2,4.84,-10.648,1,0
1974,1,women.role,3,NES,props.i,0.519417476,-2,4,-8,1,0
1976,1,women.role,3,NES,props.i,0.53021148,-1.8,3.24,-5.832,1,0
1978,1,women.role,3,NES,props.i,0.644970414,-1.6,2.56,-4.096,1,0
1980,1,women.role,3,NES,props.i,0.612021858,-1.4,1.96,-2.744,1,0
1982,1,women.role,3,NES,props.i,0.660714286,-1.2,1.44,-1.728,1,0
1984,1,women.role,3,NES,props.i,0.547717842,-1,1,-1,1,0
1988,1,women.role,3,NES,props.i,0.719626168,-0.6,0.36,-0.216,1,0
1990,1,women.role,3,NES,props.i,0.611650485,-0.4,0.16,-0.064,1,0
1992,1,women.role,3,NES,props.i,0.798906889,-0.2,0.04,-0.008,1,0
1994,1,women.role,3,NES,props.i,0.758194822,0,0,0,1,0
1996,1,women.role,3,NES,props.i,0.745752699,0.2,0.04,0.008,1,0
